created_at,description,category
We are facing multiple issues related to road safety some of them include the \nRoad being dug out but never repaired making it extremely dangerous for pedestrain and kids as vehicle move close by.\n\nThere always a cry for not enough space becuase of illegal parking on road side.\n\nPlus there is a constant movement of heavy vehicle in area even though they are prohibited.\n\nI hope the issue get addresss soon.,"Potholes, Illegal Parking and Movement of Heavy Vehicle",Potholes
This is a really bad road. we need it cleaned as some people are now using it as dumping area.,Bad road now with garbage,Garbage
This needs to be fixed asap.,Traffic issue that needs immediate attention,Traffic
"We observed frequently heavy traffic at dahisar check naka. Most of the time the reason for that is \"" Traffic signal are off which is done by traffic police for unknown reason \"". I request concerned authority to look into this matter .",Traffic jam at Dahisar check naka,Traffic
A pothole in front of Chand Shahwli Baba Dargah on Pipeline Road near IIT Boundary is causing daily traffic snarls. It is a nuisance for the Students living in nearby hostels. please look into the matter at the earliest.,Pothole on Pipeline Road,Potholes
Garbage has been piling up near the Boat house near Powai lake for quite some time now. The condition has gone bad to worse in the last few months. Please look into the matter.,Garbage pile near Powai lake,Garbage
This is on the road while coming towards royal palms in aarey colony,Lot of potholes which makes it difficult to commute,Potholes
Potholes uneven road in front of Riddhi Gardens complex. Lot of water gets accumulated there. It. Has become impossible to walk. Each and every vehicle passing by splash water while on the road.,Potholes n uneven road in front of riddhi gardens,Potholes
Killer pitholes throughout from marol to saki naka.. Andheri-kurla road at its worst causing heavy inconvenience to motorists,Dangerous potholes,Potholes
From ghatkopar west station to jagdusha nagar the road is very bad and lot of pot holes and very few streetlights. There is always a traffic jam during peak houes,"Bad roads, few streetlights and pot holes",Potholes
Lots off potholes on service road of magatgane telephone exchange exchange near 90 feet road of thakor complex kan divali east,Potholes,Potholes
Lots off potholes on service road of magatgane telephone exchange exchange near 90 feet road of thakor complex kan divali east,Potholes,Potholes
In my slum area the garbage collection system is not proper and the those garbage is the reason for water logging in the roads.,Garbage collection,Garbage
